report_id,utility,event_year,label,version,document_url,original_url,redlined,partial_corrections,mbl_advance_notice,mbl_advance_notice_confidence,mbl_advance_notice_source,wind_threshold_cited,wind_threshold_cited_confidence,wind_threshold_cited_source,complaints_reported,complaints_reported_confidence,complaints_reported_source,claims_reported,claims_reported_confidence,claims_reported_source,canceled_after_notice,canceled_after_notice_confidence,canceled_after_notice_source,customers_deenergized,customers_deenergized_source,counties_deenergized,counties_deenergized_source,counties_deenergized_names,first_deenergization,first_deenergization_source,first_deenergization_pdf_value,last_restoration,last_restoration_source,last_restoration_pdf_value,event_duration_hours,luna_text_truncated_after_page,image_pages_transcribed,image_pages_unread,flags
pge__pge_oct_21_23_2020_psps_post_event_report,PG&E,2020,"Oct. 21-23, 2020: PSPS Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-21-23-2020-psps-post-event-report.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-21-23-2020-psps-post-event-report.pdf,False,,all_notified,0.68,PDF pages 4;5;10;11;25;30;31;34,not_stated,0.92,PDF pages 4;5;6;15;16;64;65;69,not_stated,1.0,PDF pages 3;4;5;47;48,one_or_more,1.0,PDF pages 3;4;5;47;48,yes,1.0,PDF pages 4;5;8;9;29;30;32;34,30154,PDF page 4,7,PDF page 69,Butte; Colusa; Glenn; Plumas; Shasta; Tehama; Yolo,2020-10-21 14:42,PDF page 75,2020-10-21 14:42,2020-10-23 15:56,PDF page 74,2020-10-23 15:56,49.23,,4,,mbl_advance_notice:low_confidence
pge__pge_oct_25_28_2020_psps_post_event_report,PG&E,2020,"Oct. 25-28, 2020: PSPS Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-25-28-2020-psps-post-event-report.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-25-28-2020-psps-post-event-report.pdf,False,,some_not_notified,0.98,PDF pages 4;5;8;9;30;31;35;36,not_stated,0.77,PDF pages 4;5;15;16;60;69;72;74,zero,0.98,PDF pages 3;4;5;49;50,one_or_more,1.0,PDF pages 3;4;5;49;50,yes,1.0,PDF pages 4;5;32;33;34;35;36;51,345470,PDF page 10,35,PDF page 25,Alameda; Alpine; Amador; Butte; Calaveras; Colusa; Contra Costa; El Dorado; Fresno; Glenn; Humboldt; Lake; Madera; Marin; Mariposa; Mendocino; Napa; Nevada; Placer; Plumas; San Joaquin; San Mateo; Santa Clara; Santa Cruz; Shasta; Sierra; Siskiyou; Solano; Sonoma; Stanislaus; Tehama; Trinity; Tuolumne; Yolo; Yuba,2020-10-25 10:00,PDF page 84,2020-10-25 10:00,2020-10-28 22:25,PDF page 95,2020-10-28 22:25,84.42,,4,,wind_threshold_cited:low_confidence
pge__pge_sept_27_29_2020_psps_post_event_report,PG&E,2020,"Sept. 27-29, 2020: PSPS Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpuc_public_website/content/news_room/news_and_updates/pge-sept-27-29-2020-psps-post-event-report.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpuc_public_website/content/news_room/news_and_updates/pge-sept-27-29-2020-psps-post-event-report.pdf,False,,all_notified,0.49,PDF pages 4;5;9;10;26;29;30;34,met,0.57,PDF pages 4;5;15;16;21;22;23;24,zero,0.99,PDF pages 3;4;5;51;52,one_or_more,1.0,PDF pages 3;4;5;51;52,yes,1.0,PDF pages 4;5;30;31;32;33;54;78,64297,PDF page 10,15,PDF page 4,Alpine; Amador; Butte; Calaveras; El Dorado; Lake; Napa; Nevada; Placer; Plumas; Shasta; Sierra; Sonoma; Tehama; Yuba,2020-09-26 06:51,PDF page 75,2020-09-26 06:51,2020-09-29 09:52,PDF page 73,2020-09-29 09:52,75.02,,2,,mbl_advance_notice:low_confidence wind_threshold_cited:low_confidence
pge__pge_sept_7_10_2020_psps_post_event_report,PG&E,2020,"Sept. 7-10, 2020: PSPS Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-sept-7-10-2020-psps-post-event-report.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-sept-7-10-2020-psps-post-event-report.pdf,False,,some_not_notified,0.97,PDF pages 2;3;4;20;21;23;24;64,met,0.25,PDF pages 2;3;8;9;12;13;14;150,zero,0.99,PDF pages 2;3;35;36,one_or_more,1.0,PDF pages 2;3;35;36,yes,1.0,PDF pages 2;3;14;21;22;24;25;64,168581,PDF page 16,22,PDF page 2,,2020-09-07 04:25,PDF page 56,2020-09-07 04:25,,,,,,2,,wind_threshold_cited:low_confidence
pge__psps_event_12_02_20_de_energization_report_final,PG&E,2020,"Dec. 2-3, 2020: PSPS Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/psps-event-12-02-20-de-energization-report-final.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/psps-event-12-02-20-de-energization-report-final.pdf,False,,all_notified,0.94,PDF pages 4;5;8;9;26;29;30;32,not_stated,0.55,PDF pages 4;5;13;14;51;56;58;59,one_or_more,1.0,PDF pages 3;4;5;44;45,zero,1.0,PDF pages 3;4;5;44;45,no,0.83,PDF pages 4;5;11;31;32;68;74;75,617,PDF page 26,1,PDF page 25,Kern County,2020-12-02 17:46,PDF page 63,2020-12-02 17:46,2020-12-03 16:04,PDF page 63,2020-12-03 16:04,22.3,,2,,wind_threshold_cited:low_confidence canceled_after_notice:low_confidence
pge__psps_event_12_07_20_de_energization_report,PG&E,2020,"Dec. 7, 2020: PSPS Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/psps-event-12-07-20-de-energization-report.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/psps-event-12-07-20-de-energization-report.pdf,False,,not_applicable,0.98,PDF pages 4;5;14;15;17;18;19;43,not_stated,0.8,PDF pages 4;5;8;9;10;31;34;38,zero,0.92,PDF pages 3;4;5;27;28,zero,0.85,PDF pages 3;4;5;27;28,yes,1.0,PDF pages 1;2;4;5;19;22;26;43,0,PDF page 12,0,PDF page 12,,,,,,,,,,0,,wind_threshold_cited:low_confidence claims_reported:low_confidence
pge__jan_19_2021_pge_post_event_report,PG&E,2021,"Jan 19, 2021: PG&E Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/jan-19-2021-pge-post-event-report.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/jan-19-2021-pge-post-event-report.pdf,False,,all_notified,0.56,PDF pages 4;5;9;10;29;33;34;36,met,0.61,PDF pages 4;5;15;16;55;60;64;67,zero,0.78,PDF pages 3;4;5;47;48;57,zero,1.0,PDF pages 3;4;5;47;48,yes,1.0,PDF pages 4;5;13;34;35;36;37;49,5099,PDF page 4,7,PDF page 28,Fresno; Kern; Madera; Mariposa; San Luis Obispo; Santa Barbara; Tulare,2021-01-18 23:02,PDF page 71,2021-01-18 23:02,2021-01-26 16:10,PDF page 71,2021-01-26 16:10,185.13,,3,,mbl_advance_notice:low_confidence wind_threshold_cited:low_confidence complaints_reported:low_confidence
pge__pge_october_11_2021_psps_post_event_report,PG&E,2021,"Oct. 11, 2021: PG&E PSPS Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pge-october-11-2021-psps-post-event-report.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pge-october-11-2021-psps-post-event-report.pdf,False,,some_not_notified,0.7,PDF pages 4;5;6;43;44;50;51;52,not_stated,0.91,PDF pages 4;5;6;8;9;15;16;89,one_or_more,1.0,PDF pages 3;4;5;6;78;79,one_or_more,1.0,PDF pages 3;4;5;6;78;79,yes,1.0,PDF pages 4;5;6;45;46;47;49;62,23504,PDF page 39,23,PDF page 39,Alameda; Butte; Colusa; Contra Costa; Fresno; Glenn; Kern; Kings; Lake; Merced; Monterey; Napa; Plumas; San Benito; San Joaquin; San Luis Obispo; Santa Barbara; Shasta; Solano; Sonoma; Stanislaus; Tehama; Yolo,2021-10-11 01:34,PDF page 102,2021-10-11 01:34,2021-10-14 15:22,PDF page 104,2021-10-14 15:22,85.8,,5,,mbl_advance_notice:low_confidence
pge__pge_october_14_16_2021_psps_post_event_report,PG&E,2021,"Oct. 14-16, 2021: PG&E PSPS Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pge-october-14-16-2021-psps-post-event-report.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pge-october-14-16-2021-psps-post-event-report.pdf,False,,some_not_notified,0.21,PDF pages 7;8;9;38;41;42;47;48,not_stated,0.92,PDF pages 7;8;9;10;11;16;17;78,one_or_more,1.0,PDF pages 6;7;8;9;70;71,zero,1.0,PDF pages 6;7;8;9;70;71,yes,1.0,PDF pages 7;8;9;10;43;44;47;55,666,PDF page 38,1,PDF page 38,Kern,2021-10-15 01:00,PDF page 90,2021-10-15 01:00,2021-10-16 16:32,PDF page 90,2021-10-16 16:32,39.53,,3,,mbl_advance_notice:low_confidence
pge__pspsreportletter092021,PG&E,2021,"Sept 20-21, 2021: PG&E PSPS Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pspsreportletter092021.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pspsreportletter092021.pdf,False,,some_not_notified,0.46,PDF pages 4;5;6;40;41;47;48;49,not_stated,0.95,PDF pages 4;5;6;8;9;14;15;81,one_or_more,1.0,PDF pages 3;4;5;6;73;74,one_or_more,1.0,PDF pages 3;4;5;6;73;74,yes,1.0,PDF pages 4;5;6;7;18;45;46;58,2968,PDF page 38,8,PDF page 38,Colusa; Glenn; Kern; Lake; Napa; Solano; Tehama; Yolo,2021-09-20 06:05,PDF page 94,2021-09-20 06:05,2021-09-21 16:46,PDF page 94,2021-09-21 16:46,34.68,,3,,mbl_advance_notice:low_confidence
pge__final_psps_10_22_22_weather_post_event_report_20221107,PG&E,2022,"October 22-24, 2022: PG&E PSPS Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2022/final-psps_10-22-22_weather_post-event_report_20221107.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2022/final-psps_10-22-22_weather_post-event_report_20221107.pdf,False,,not_applicable,1.0,PDF pages 4;5;6;24;37;38;39;40,not_stated,0.79,PDF pages 4;5;6;7;8;15;16;75,one_or_more,1.0,PDF pages 3;4;5;6;67;68,zero,1.0,PDF pages 3;4;5;6;67;68,yes,1.0,PDF pages 1;2;4;5;6;35;36;50,0,PDF page 1,0,PDF page 1,,,,,,,,,,7,,wind_threshold_cited:low_confidence
pge__pge_post_event_report_9_20_2023,PG&E,2023,"September 20, 2023: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9-20-2023.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9-20-2023.pdf,False,,all_notified,0.99,PDF pages 4;5;6;29;46;47;48;49,not_stated,0.83,PDF pages 4;5;6;7;8;9;10;81,one_or_more,1.0,PDF pages 3;4;5;6;72;73,zero,1.0,PDF pages 3;4;5;6;72;73,yes,1.0,PDF pages 4;5;6;7;16;39;44;45,1171,PDF page 4,3,PDF page 29,Lake; Napa; Tehama,2023-09-20 23:19,PDF page 29,2023-09-20 23:19,2023-09-21 17:05,PDF page 29,2023-09-21 17:05,17.77,,7,,wind_threshold_cited:low_confidence
pge__pge_post_event_report_9302023_event,PG&E,2023,"September 30, 2023: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9302023-event.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9302023-event.pdf,False,,NO_MATCHING_PAGE,,,NO_MATCHING_PAGE,,,NO_MATCHING_PAGE,,,NO_MATCHING_PAGE,,,NO_MATCHING_PAGE,,,0,PDF page 4,0,PDF page 4,,,,,,,,,,0,,mbl_advance_notice:no_matching_page wind_threshold_cited:no_matching_page complaints_reported:no_matching_page claims_reported:no_matching_page canceled_after_notice:no_matching_page
pge__pge_psps_report_8_30_2023_event,PG&E,2023,"August 30, 2023: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-psps-report-8-30-2023-event.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-psps-report-8-30-2023-event.pdf,False,,not_stated,0.5,PDF pages 3;4;5;49;100,not_stated,0.59,PDF pages 1;3;4;5;91;94;97;98,not_stated,1.0,PDF pages 3;4;5,not_stated,1.0,PDF pages 3;4;5,yes,1.0,PDF pages 3;4;5;80;81,3928,PDF page 28,7,PDF page 28,Butte; Colusa; Glenn; Lake; Shasta; Tehama; Yolo,2023-08-30 01:40,PDF page 28,2023-08-30 01:40,2023-08-31 11:39,PDF page 28,2023-08-31 11:39,33.98,,1,,mbl_advance_notice:low_confidence wind_threshold_cited:low_confidence
pge__r1812005coverpge12152023_psps_postevent_report01020224,PG&E,2023,"December 15, 2023: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005coverpge12152023-psps-postevent-report01020224.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005coverpge12152023-psps-postevent-report01020224.pdf,False,,NO_MATCHING_PAGE,,,NO_MATCHING_PAGE,,,NO_MATCHING_PAGE,,,NO_MATCHING_PAGE,,,NO_MATCHING_PAGE,,,,,,,,,,,,,,,,0,,mbl_advance_notice:no_matching_page wind_threshold_cited:no_matching_page complaints_reported:no_matching_page claims_reported:no_matching_page canceled_after_notice:no_matching_page
pge__07_05_2024_psps_post_event_report_20240719,PG&E,2024,"July 5, 2024: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/07-05-2024_psps_post-event_report_20240719.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/07-05-2024_psps_post-event_report_20240719.pdf,False,,not_applicable,1.0,PDF pages 4;5;6;16;19;22;26;27,not_stated,0.63,PDF pages 4;5;6;7;8;11;14;44,one_or_more,1.0,PDF pages 3;4;5;6;39;40,zero,1.0,PDF pages 3;4;5;6;39;40,yes,1.0,PDF pages 4;5;6;14;15;16;24;25,0,PDF page 5,0,PDF page 5,,,,,,,,,,2,,wind_threshold_cited:low_confidence
