item,report_id,field,jev_answer,jev_confidence
113,sdge__sdge_de_energization_report_dec_4_2017,wind_threshold_cited,met,0.41
114,sce__r1812005sce_psps_postevent_for_november_20_2024_deenergization,mbl_advance_notice,all_notified,0.42
115,sce__sce_esrb_8_report_regarding_october_12_through_october_16_2018,complaints_reported,one_or_more,0.42
116,sce__sce_psps_postevent_reportaug_1217_2019_8302019,claims_reported,zero,0.42
117,sdge__r1812005_sdge_psps_postevent_report_dec_911_2024_1_10_2025,mbl_advance_notice,all_notified,0.42
118,sce__r1812005_sce_psps_post_event_report_for_9_7_24_de_energization_event,mbl_advance_notice,all_notified,0.43
119,sce__2021614sce_post_event_report_final,complaints_reported,zero,0.44
120,sce__r1812005_sce_psps_postevent_report_for_112421,mbl_advance_notice,all_notified,0.44
121,sce__r1812005sce_psps_postevent_report_for_93021,canceled_after_notice,not_stated,0.44
122,sdge__sdge_de_energization_report_oct_19_20_2018,wind_threshold_cited,met,0.44
123,sdge__sdge_sept_8_9_2020_psps_post_event_report,wind_threshold_cited,not_stated,0.44
124,sce__sce_october_15_2021_psps_post_event_report,mbl_advance_notice,all_notified,0.45
125,pge__pspsreportletter092021,mbl_advance_notice,some_not_notified,0.46
126,sce__sce_oct_23_28_2020_psps_post_event_report,canceled_after_notice,yes,0.47
127,pge__pge_psps_report_letter_oct_13_17_2018,mbl_advance_notice,all_notified,0.48
128,pge__pge_public_safety_power_shutoff_oct_56_2019_report,mbl_advance_notice,all_notified,0.48
129,sce__r1812005_sce_psps_post_event_for_october_1_2024_de_energization,canceled_after_notice,yes,0.48
130,sce__r1812005_sce_psps_post_event_report_for_9_15_24_high_threat_event,wind_threshold_cited,not_stated,0.48
131,sce__sce_psps_post_event_report_10_11_2023_event,wind_threshold_cited,not_stated,0.48
132,pge__pge_sept_27_29_2020_psps_post_event_report,mbl_advance_notice,all_notified,0.49
133,sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,mbl_advance_notice,all_notified,0.49
134,pge__pge_psps_report_8_30_2023_event,mbl_advance_notice,not_stated,0.5
135,sce__r1812005_sce_psps_post_event_for_august_10_2025_de_energization,mbl_advance_notice,all_notified,0.5
136,sce__r1812005_sce_psps_post_event_report_for_9_9_22,mbl_advance_notice,not_applicable,0.5
137,sce__r1812005sce_psps_postevent_report_for_93021,mbl_advance_notice,not_applicable,0.5
138,sce__sce_psps_postevent_reportoct_27nov_4_2019_11192019,mbl_advance_notice,not_stated,0.51
139,sce__sce_sept_5_11_2020_psps_post_event_report,mbl_advance_notice,not_stated,0.51
140,pge__pge_psps_post_event_report_20240702,mbl_advance_notice,all_notified,0.52
141,sdge__sdge_psps_post_event_report_december_23_24_final,mbl_advance_notice,not_stated,0.52
142,sce__r1812005_sce_psps_post_event_report_for_9_9_22,canceled_after_notice,no,0.53
143,sce__r1812005_sce_psps_post_event_report_for_11_19_22_de_energization_event,mbl_advance_notice,some_not_notified,0.54
144,sce__r1812005sce_psps_postevent_for_october_8_2025_deenergization,wind_threshold_cited,met,0.54
145,sce__sce_nov_2326_2019_psps_postevent_report,complaints_reported,one_or_more,0.54
146,sce__sce_psps_postevent_reportaug_310_2019_8222019,complaints_reported,not_stated,0.54
147,pge__pge_public_safety_power_shutoff_nov_2021_2019_report,wind_threshold_cited,not_stated,0.55
148,pge__psps_event_12_02_20_de_energization_report_final,wind_threshold_cited,not_stated,0.55
149,pge__public_safety_power_shutoff_sept_25_27_2019,wind_threshold_cited,met,0.55
150,sce__sce_psps_postevent_report_for_june_26_2026_deenergization,wind_threshold_cited,met,0.55
151,sdge__r1812005_sdge_psps_postevent_report_dec_911_2024_1_10_2025,wind_threshold_cited,met,0.55
152,pge__jan_19_2021_pge_post_event_report,mbl_advance_notice,all_notified,0.56
153,sce__20231029_sce_psps_post_event_reportdeenergizedfinal,mbl_advance_notice,all_notified,0.56
154,sce__r1812005_sce_psps_post_event_for_july_1_2025_de_energization,wind_threshold_cited,met,0.56
155,sce__r1812005_sce_psps_post_event_report_for_11_20_23_de_energization_event,mbl_advance_notice,all_notified,0.56
156,sce__sce_esrb_8_report_regarding_november_5_through_november_13_2018,wind_threshold_cited,met,0.56
157,pge__pge_sept_27_29_2020_psps_post_event_report,wind_threshold_cited,met,0.57
158,pge__r1812005pge51726_psps_postevent_reports1,mbl_advance_notice,all_notified,0.57
159,sce__jan_1221_2021_sce_psps_post_event_report,mbl_advance_notice,not_stated,0.57
160,sce__nov_14_18_2020_sce_psps_post_event_report,claims_reported,zero,0.57
161,pge__r1812005psps_event_93010152024,mbl_advance_notice,all_notified,0.58
162,sce__r1812005_sce_psps_post_event_for_december_9_2024_de_energization,mbl_advance_notice,some_not_notified,0.58
163,sce__r1812005_sce_psps_postevent_report_for_112121,mbl_advance_notice,all_notified,0.58
164,pge__pge_psps_report_8_30_2023_event,wind_threshold_cited,not_stated,0.59
165,sce__sce_oct_23_28_2020_psps_post_event_report,mbl_advance_notice,some_not_notified,0.59
166,pge__jan_19_2021_pge_post_event_report,wind_threshold_cited,met,0.61
167,sce__r1812005_sce_psps_post_event_for_july_15_2025_de_energization,wind_threshold_cited,met,0.61
168,sce__r1812005sce_psps_postevent_for_august_1_2025_de_energization,mbl_advance_notice,some_not_notified,0.61
169,sce__sce_esrb_8_report_dec_29_2018_jan1_2019,wind_threshold_cited,met,0.61
170,sce__r1812005sce_psps_postevent_for_june_10_2025_deenergization,wind_threshold_cited,met,0.62
171,pge__07_05_2024_psps_post_event_report_20240719,wind_threshold_cited,not_stated,0.63
172,sce__r1812005_sce_psps_post_event_report_for_11_26_23_high_threat_event,wind_threshold_cited,not_stated,0.63
173,sce__sce_psps_post_event_report_7_11_2023_event,mbl_advance_notice,not_applicable,0.63
174,pge__10_17_2024_psps_post_event_report,mbl_advance_notice,all_notified,0.64
175,sce__20250104sce_psps_post_event_reportdeenergizedfinal,wind_threshold_cited,met,0.64
176,sce__r1812005_sce_psps_post_event_for_july_15_2025_de_energization,mbl_advance_notice,all_notified,0.64
177,sce__r1812005sce_psps_postevent_for_july_22_2026_deenergization,wind_threshold_cited,not_stated,0.64
178,sce__sce_sept_5_11_2020_psps_post_event_report,canceled_after_notice,yes,0.64
179,sdge__sdge_psps_post_event_report_december_23_24_final,canceled_after_notice,not_stated,0.64
180,sce__sce_psps_postevent_report_oct_1221_2019_1112019,claims_reported,zero,0.65
181,sdge__sdge_sept_8_9_2020_psps_post_event_report,canceled_after_notice,not_stated,0.65
182,sce__sce_psps_post_event_report_june_28july8_2019_7222019,claims_reported,not_stated,0.66
183,sce__sce_psps_postevent_report_for_june_26_2026_deenergization,mbl_advance_notice,all_notified,0.67
184,sdge__sdge_post_event_psps_report_october_10_to_11_2019,mbl_advance_notice,not_stated,0.67
185,pge__pge_oct_21_23_2020_psps_post_event_report,mbl_advance_notice,all_notified,0.68
186,sce__r1812005_sce_psps_post_event_report_for_7_26_26_de_energization_event,mbl_advance_notice,all_notified,0.68
187,sce__r1812005sce_psps_postevent_for_october_8_2025_deenergization,mbl_advance_notice,some_not_notified,0.68
188,sce__r1812005sce_psps_postevent_report_for_july_15_2026_deenergization,mbl_advance_notice,all_notified,0.68
189,sdge__sdge_oct_26_27_2020_psps_post_event_report,wind_threshold_cited,met,0.68
190,sce__2021614sce_post_event_report_final,wind_threshold_cited,not_stated,0.69
191,sce__r1812005_sce_psps_post_event_for_october_8_2024_high_threat,wind_threshold_cited,not_stated,0.69
192,sce__r1812005sce_psps_postevent_for_august_1_2025_de_energization,wind_threshold_cited,met,0.69
193,sce__sce_esrb_8_report_regarding_october_12_through_october_16_2018,claims_reported,not_stated,0.69
194,sdge__sdge_oct_26_27_2020_psps_post_event_report,canceled_after_notice,not_stated,0.69
195,pge__pge_october_11_2021_psps_post_event_report,mbl_advance_notice,some_not_notified,0.7
196,pge__r1812005pge1132025_psps_postevent_report01020224,canceled_after_notice,no,0.7
197,pge__r1812005pge61026_psps_postevent_report62526,mbl_advance_notice,all_notified,0.7
198,sce__r1812005_sce_psps_post_event_report_for_7_26_26_de_energization_event,wind_threshold_cited,met,0.7
199,sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,wind_threshold_cited,met,0.7
200,sce__sce_nov_9_2025_psps_post_event_report,mbl_advance_notice,all_notified,0.7
201,sce__r1812005sce_psps_postevent_for_december_31_2024_highthreat,wind_threshold_cited,not_stated,0.71
202,sce__r1812005sce_psps_postevent_for_october_28_2025_deenergization,mbl_advance_notice,all_notified,0.71
203,sdge__r1812005_sdge_psps_postevent_reportjan_716_2025_eserve,mbl_advance_notice,all_notified,0.71
204,sdge__sdge_sept_8_9_2020_psps_post_event_report,mbl_advance_notice,not_stated,0.71
205,pge__pge_psps_post_event_report_20240702,wind_threshold_cited,met,0.72
206,sce__r1812005sce_psps_postevent_for_december_26_2024_highthreat,wind_threshold_cited,not_stated,0.72
207,sce__r1812005sce_psps_postevent_for_october_28_2025_deenergization,wind_threshold_cited,met,0.72
208,sce__sce_nov_2326_2019_psps_postevent_report,claims_reported,zero,0.72
209,sce__r1812005_sce_psps_post_event_for_december_9_2024_de_energization,wind_threshold_cited,met,0.73
210,sce__r1812005_sce_psps_post_event_for_october_27_2024_de_energization,mbl_advance_notice,all_notified,0.73
211,sdge__sdge_de_energization_report_oct_15_16_2018,wind_threshold_cited,not_stated,0.73
212,sdge__sdge_de_energization_report_sept_21_22_2017,mbl_advance_notice,not_applicable,0.73
213,sce__nov_3_7_2020_sce_psps_post_event_report,complaints_reported,zero,0.75
214,sce__r1812005sce_psps_postevent_for_november_28_2024_highthreat_event,wind_threshold_cited,not_stated,0.75
215,sce__sce_october_16_18_2021_psps_post_event_report,wind_threshold_cited,not_stated,0.75
216,sdge__sdge_post_event_psps_report_october_10_to_11_2019,wind_threshold_cited,not_stated,0.75
217,pge__r1812005pge71526_psps_postevent_report073026,wind_threshold_cited,not_stated,0.76
218,sce__r1812005_sce_psps_post_event_for_august_10_2025_de_energization,wind_threshold_cited,met,0.76
219,sce__sce_psps_postevent_reportoct_212_2019_10252019,mbl_advance_notice,not_stated,0.76
220,pge__pge_oct_14_17_2020_psps_post_event_report,wind_threshold_cited,not_stated,0.77
221,pge__pge_oct_25_28_2020_psps_post_event_report,wind_threshold_cited,not_stated,0.77
222,pge__pge_public_safety_power_shutoff_nov_2021_2019_report,mbl_advance_notice,some_not_notified,0.77
223,sce__2021614sce_post_event_report_final,claims_reported,zero,0.77
224,pge__jan_19_2021_pge_post_event_report,complaints_reported,zero,0.78
225,sce__20240808sce_psps_post_event_reportdeenergizedfinal,wind_threshold_cited,met,0.78
226,sce__r1812005_sce_psps_post_event_report_for_10_22_22_high_threat_event,wind_threshold_cited,not_stated,0.78
227,sce__sce_jun_25_28_2020_psps_post_event_report,claims_reported,zero,0.78
228,sce__sce_psps_post_event_report_7_18_2023_event,wind_threshold_cited,not_stated,0.78
229,sce__sce_psps_postevent_reportjuly_29aug_2_2019_8162019,claims_reported,zero,0.78
230,sdge__r1812005_sdge_psps_postevent_report_112426,mbl_advance_notice,all_notified,0.78
231,pge__final_psps_10_22_22_weather_post_event_report_20221107,wind_threshold_cited,not_stated,0.79
232,sce__2020_11_29_sce_psps_post_event_report_final,canceled_after_notice,yes,0.79
233,sdge__r1812005_sdge_psps_postevent_report_112426,wind_threshold_cited,met,0.79
234,sdge__sdge_sept_28_29_2020_psps_post_event_report,canceled_after_notice,yes,0.79
235,pge__psps_event_12_07_20_de_energization_report,wind_threshold_cited,not_stated,0.8
236,sce__20250120sce_psps_post_event_reportdeenergizedfinal,mbl_advance_notice,some_not_notified,0.8
237,sce__sce_may_27_30_2020_psps_post_event_report,claims_reported,zero,0.8
238,sdge__r1812005_sdge_psps_postevent_report_oct_2931_2023_11_14_2023,wind_threshold_cited,not_stated,0.8
239,sdge__sdge_psps_post_event_report_december_23_24_final,wind_threshold_cited,met,0.8
240,sdge__sdge_psps_postevent_reportnov_26dec_9_12232020,mbl_advance_notice,not_stated,0.8
241,sdge__sdge_psps_postevent_reportnov_26dec_9_12232020,wind_threshold_cited,met,0.8
242,pge__pge_public_safety_power_shutoff_oct_56_2019_report,wind_threshold_cited,not_stated,0.81
243,pge__r1812005psps_event_93010152024,wind_threshold_cited,not_stated,0.81
244,sce__r1812005_sce_psps_post_event_for_december_5_2024_high_threat,wind_threshold_cited,not_stated,0.81
245,sdge__sdge_de_energization_report_dec_4_2017,mbl_advance_notice,not_stated,0.82
246,sdge__sdge_de_energization_report_oct_20_21_2017,mbl_advance_notice,not_applicable,0.82
247,sdge__sdge_psps_postevent_reportnov_26dec_9_12232020,canceled_after_notice,yes,0.82
248,pge__pge_post_event_report_9_20_2023,wind_threshold_cited,not_stated,0.83
249,pge__psps_event_12_02_20_de_energization_report_final,canceled_after_notice,no,0.83
250,sce__r1812005sce_psps_postevent_for_november_13_2024_deenergization,wind_threshold_cited,met,0.83
251,sce__sce_psps_postevent_report_july_921_2019_822019,claims_reported,zero,0.83
252,sce__sce_psps_postevent_reportjuly_29aug_2_2019_8162019,wind_threshold_cited,not_stated,0.83
253,sdge__r1812005_sdge_psps_postevent_report_nov_68_2024,mbl_advance_notice,all_notified,0.83
254,sce__r1812005_sce_psps_post_event_for_september_2_2025_de_energization,mbl_advance_notice,some_not_notified,0.84
255,sce__sce_post_event_reporting_october_21_through_october_26_2019,mbl_advance_notice,not_stated,0.84
256,sce__sce_psps_post_event_reportjune_17_22_2019_752019,claims_reported,zero,0.84
257,pge__pge_psps_report_event_nov_6_8_2018,wind_threshold_cited,not_stated,0.85
258,pge__psps_event_12_07_20_de_energization_report,claims_reported,zero,0.85
259,sce__r1812005sce_psps_postevent_for_november_4_2024_deenergization,wind_threshold_cited,met,0.85
260,sdge__r1812005_sdge_psps_postevent_report_jan_2024_2025_e_serve_2_24_2025,mbl_advance_notice,all_notified,0.85
261,pge__pge_esrb8_report_for_oct_26_29_2019,wind_threshold_cited,not_stated,0.86
262,pge__pge_public_safety_power_shutoff_oct_2325_2019_report,mbl_advance_notice,some_not_notified,0.86
263,sce__20240808sce_psps_post_event_reportdeenergizedfinal,mbl_advance_notice,all_notified,0.86
264,sce__nov_14_18_2020_sce_psps_post_event_report,mbl_advance_notice,not_stated,0.86
265,sce__r1812005_sce_psps_post_event_report_for_11_24_22_de_energization_event,wind_threshold_cited,met,0.86
266,sdge__sdge_sept_28_29_2020_psps_post_event_report,wind_threshold_cited,not_stated,0.86
267,sce__r1812005_sce_psps_post_event_for_october_27_2024_de_energization,wind_threshold_cited,met,0.87
268,sce__r1812005_sce_psps_post_event_for_september_2_2025_de_energization,wind_threshold_cited,met,0.87
269,sce__r1812005sce_psps_postevent_for_november_13_2024_deenergization,mbl_advance_notice,all_notified,0.87
270,sce__sce_jun_25_28_2020_psps_post_event_report,wind_threshold_cited,not_stated,0.87
271,sdge__jan_1416_2021_sdge_psps_post_event_report,wind_threshold_cited,not_stated,0.87
272,sdge__sdge_de_energization_report_oct_15_16_2018,mbl_advance_notice,not_stated,0.87
273,sce__20241217sce_psps_post_event_reportdeenergized_final,wind_threshold_cited,met,0.88
274,sce__r1812005sce_psps_postevent_for_july_22_2026_deenergization,canceled_after_notice,no,0.88
275,sce__sce_oct_23_28_2020_psps_post_event_report,complaints_reported,zero,0.88
276,sce__sce_psps_post_event_report_june_28july8_2019_7222019,wind_threshold_cited,not_stated,0.88
277,sce__wildfire_072222_scepspsposteventreport,mbl_advance_notice,all_notified,0.88
278,sdge__sdgedeenergizationreportoct23252017,wind_threshold_cited,met,0.88
279,pge__pge_public_safety_power_shutoff_oct_912_report,wind_threshold_cited,not_stated,0.89
280,sce__r1812005sce_psps_postevent_for_july_22_2026_deenergization,mbl_advance_notice,some_not_notified,0.89
281,sce__sce_esrb_8_report_dec_29_2018_jan1_2019,complaints_reported,one_or_more,0.89
282,sce__sce_may_27_30_2020_psps_post_event_report,wind_threshold_cited,not_stated,0.89
283,sce__sce_nov_2326_2019_psps_postevent_report,mbl_advance_notice,not_stated,0.89
284,sce__sce_psps_postevent_report_july_921_2019_822019,wind_threshold_cited,not_stated,0.89
285,sce__sce_psps_postevent_reportjuly_2228_2019_892019,claims_reported,zero,0.89
286,sdge__sdge_post_event_psps_report_october_20november_1_0,mbl_advance_notice,not_stated,0.89
